Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
341040,Colima,10412,Confirmed Eruption,,2,,,1560,,0,,0,,Historical Observations,,,,,,,,19.514,-103.62
341040,Colima,10411,Confirmed Eruption,,3,?,,1519,,0,,0,,Historical Observations,,1523,,0,,0,,19.514,-103.62
341040,Colima,10409,Confirmed Eruption,,,,,1110,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10408,Confirmed Eruption,,,,,730,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10407,Confirmed Eruption,,,,,540,150,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10406,Confirmed Eruption,,,,,-650,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10405,Confirmed Eruption,,,,?,-1140,,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10404,Confirmed Eruption,,,,,-1170,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10403,Confirmed Eruption,,,,?,-1320,,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10402,Confirmed Eruption,,,,,-1450,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10401,Confirmed Eruption,,,,,-1890,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10400,Confirmed Eruption,,,,,-1940,300,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10399,Confirmed Eruption,,4,?,,-2370,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10398,Confirmed Eruption,,,,,-2800,100,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10397,Confirmed Eruption,,,,,-3030,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10396,Confirmed Eruption,,,,,-3180,100,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10395,Confirmed Eruption,,,,?,-3270,,0,,0,,Tephrochronology,,,,,,,,19.514,-103.62
341040,Colima,10394,Confirmed Eruption,,,,,-3350,300,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10393,Confirmed Eruption,,,,,-3510,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10392,Confirmed Eruption,,,,,-3600,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10391,Confirmed Eruption,,,,,-4110,100,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10390,Confirmed Eruption,,,,,-4430,300,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10389,Confirmed Eruption,,,,,-4500,200,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10388,Confirmed Eruption,,,,,-4960,200,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10387,Confirmed Eruption,,,,,-5880,200,0,,0,,Radiocarbon (corrected),,,,,,,,19.514,-103.62
341040,Colima,10386,Confirmed Eruption,,,,,-6320,200,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10385,Confirmed Eruption,,,,,-7420,500,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
341040,Colima,10384,Confirmed Eruption,,,,,-7690,500,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.514,-103.62
